" Copy"," Copy"
" Example: "," Example: "
" Transaction ID: ""%1"""," Transaction ID: ""%1"""
" [deleted]"," [deleted]"
" for more information or "," for more information or "
" is not available. You still can process offline actions."," is not available. You still can process offline actions."
" is required."," is required."
" item"," item"
" items"," items"
" to learn more."," to learn more."
" unread)"," unread)"
"""%1"" cannot contain more than %2 lines.","""%1"" cannot contain more than %2 lines."
"""%1"" contains non-alphabetic characters.","""%1"" contains non-alphabetic characters."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contains non-alphabetic or non-numeric characters."
"""%1"" contains non-numeric characters.","""%1"" contains non-numeric characters."
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","""%1"" coupon code was not applied. Do not apply discount is selected for item(s)"
"""%1"" does not fit the entered date format.","""%1"" does not fit the entered date format."
"""%1"" exceeds the allowed file size.","""%1"" exceeds the allowed file size."
"""%1"" height exceeds allowed value of %2 px.","""%1"" height exceeds allowed value of %2 px."
"""%1"" invalid type entered.","""%1"" invalid type entered."
"""%1"" is a required value.","""%1"" is a required value."
"""%1"" is an empty string.","""%1"" is an empty string."
"""%1"" is not a valid URL.","""%1"" is not a valid URL."
"""%1"" is not a valid date.","""%1"" is not a valid date."
"""%1"" is not a valid email address.","""%1"" is not a valid email address."
"""%1"" is not a valid file extension.","""%1"" is not a valid file extension."
"""%1"" is not a valid file.","""%1"" is not a valid file."
"""%1"" is not a valid hostname.","""%1"" is not a valid hostname."
"""%1"" is not a valid image format","""%1"" is not a valid image format"
"""%1"" is not a valid image format.","""%1"" is not a valid image format."
"""%1"" length must be equal or greater than %2 characters.","""%1"" length must be equal or greater than %2 characters."
"""%1"" length must be equal or less than %2 characters.","""%1"" length must be equal or less than %2 characters."
"""%1"" must be later than the current date.","""%1"" must be later than the current date."
"""%1"" section source is not supported","""%1"" section source is not supported"
"""%1"" uses too many characters.","""%1"" uses too many characters."
"""%1"" width exceeds allowed value of %2 px.","""%1"" width exceeds allowed value of %2 px."
"""%column"" contains incorrect value","""%column"" contains incorrect value"
"""%field"" can not be empty.","""%field"" can not be empty."
"""%field"" can not be null.","""%field"" can not be null."
"""%field"" can not contain leading or trailing spaces.","""%field"" can not contain leading or trailing spaces."
"""%field"" can not contain whitespaces.","""%field"" can not contain whitespaces."
"""%field"" is expected to be a number.","""%field"" is expected to be a number."
"""%field"" is required","""%field"" is required"
"""%field"" must be an array","""%field"" must be an array"
"""%field"" must be list of SourceCarrierLinkInterface.","""%field"" must be list of SourceCarrierLinkInterface."
"""%field"" should a known status.","""%field"" should a known status."
"""%field"" should be greater then 0.","""%field"" should be greater then 0."
"""%field"" should be numeric.","""%field"" should be numeric."
"""Creditmemo Document Validation Error(s):\n"" .","""Creditmemo Document Validation Error(s):\n"" ."
"""First Name"" is required. Enter and try again.","""First Name"" is required. Enter and try again."
"""Invoice Document Validation Error(s):\n"" .","""Invoice Document Validation Error(s):\n"" ."
"""Last Name"" is required. Enter and try again.","""Last Name"" is required. Enter and try again."
"""Remember Me"" Default Value","""Remember Me"" Default Value"
"""Shipment Document Validation Error(s):\n"" .","""Shipment Document Validation Error(s):\n"" ."
"""User Name"" is required. Enter and try again.","""User Name"" is required. Enter and try again."
"""file"" parameter must be specified","""file"" parameter must be specified"
"""file"" parameter must be specified and must not be empty","""file"" parameter must be specified and must not be empty"
"""model"" value should be specified","""model"" value should be specified"
"# of Items (and above)","# of Items (and above)"
"# of Items vs. Destination","# of Items vs. Destination"
"$scopeId is required","$scopeId is required"
"$websiteId parameter is required","$websiteId parameter is required"
"${ $.visible } out of ${ $.total } visible","${ $.visible } out of ${ $.total } visible"
"%","%"
"%1","%1"
"%1 %2","%1 %2"
"%1 (Children Only)","%1 (Children Only)"
"%1 (Default)","%1 (Default)"
"%1 (Parent Only)","%1 (Parent Only)"
"%1 - %2","%1 - %2"
"%1 - Discounts and Coupons","%1 - Discounts and Coupons"
"%1 - Special Products","%1 - Special Products"
"%1 / %2 rate:","%1 / %2 rate:"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"%1 An empty value is allowed as well.","%1 An empty value is allowed as well."
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","%1 Cart Price Rules based on ""%2"" attribute have been disabled."
"%1 Item","%1 Item"
"%1 Item(s)","%1 Item(s)"
"%1 Items","%1 Items"
"%1 Review(s)","%1 Review(s)"
"%1 and above","%1 and above"
"%1 and greater","%1 and greater"
"%1 cache type(s) disabled.","%1 cache type(s) disabled."
"%1 cache type(s) enabled.","%1 cache type(s) enabled."
"%1 cache type(s) refreshed.","%1 cache type(s) refreshed."
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","%1 class doesn't implement \Magento\Payment\Model\MethodInterface"
"%1 coupon(s) have been generated.","%1 coupon(s) have been generated."
"%1 disabled","%1 disabled"
"%1 does not contain field '%2'","%1 does not contain field '%2'"
"%1 does not contain field 'file'","%1 does not contain field 'file'"
"%1 does not implement %2","%1 does not implement %2"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 doesn't extend \Magento\Framework\Filter\Template"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 doesn't extends \Magento\Framework\Model\AbstractModel"
"%1 doesn't implement GetSourceDeductedOrderItemsInterface","%1 doesn't implement GetSourceDeductedOrderItemsInterface"
"%1 doesn't implement SourceSelectionInterface","%1 doesn't implement SourceSelectionInterface"
"%1 for ""%2"".","%1 for ""%2""."
"%1 for %2","%1 for %2"
"%1 has been added to your Wish List.","%1 has been added to your Wish List."
"%1 has been moved to your wish list.","%1 has been moved to your wish list."
"%1 has been updated in your Wish List.","%1 has been updated in your Wish List."
"%1 has reached a quantity of %2 in source %3(Source Code: %4).","%1 has reached a quantity of %2 in source %3(Source Code: %4)."
"%1 has reached a quantity of %2.","%1 has reached a quantity of %2."
"%1 index is locked by another reindex process. Skipping.","%1 index is locked by another reindex process. Skipping."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indexer(s) are in ""Update by Schedule"" mode."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indexer(s) are in ""Update on Save"" mode."
"%1 indexer(s) were invalidated.","%1 indexer(s) were invalidated."
"%1 is available to buy in increments of %2","%1 is available to buy in increments of %2"
"%1 is not a correct comparison method.","%1 is not a correct comparison method."
"%1 is not a valid file","%1 is not a valid file"
"%1 item(s) are currently being updated.","%1 item(s) are currently being updated."
"%1 item(s) failed to update","%1 item(s) failed to update"
"%1 item(s) have been scheduled for update.","%1 item(s) have been scheduled for update."
"%1 item(s) have been scheduled for update.""","%1 item(s) have been scheduled for update."""
"%1 item(s) have been successfully updated.","%1 item(s) have been successfully updated."
"%1 items","%1 items"
"%1 items selected for mass update","%1 items selected for mass update"
"%1 not visible","%1 not visible"
"%1 order(s) cannot be canceled.","%1 order(s) cannot be canceled."
"%1 order(s) have been released from on hold status.","%1 order(s) have been released from on hold status."
"%1 order(s) were not put on hold.","%1 order(s) were not put on hold."
"%1 order(s) were not released from on hold status.","%1 order(s) were not released from on hold status."
"%1 out of stock","%1 out of stock"
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
"%1 should implement %2","%1 should implement %2"
"%1 was updated in your shopping cart.","%1 was updated in your shopping cart."
"%1 with %2 discount each","%1 with %2 discount each"
"%1 x %2","%1 x %2"
"%1's Wish List","%1's Wish List"
"%1's Wishlist","%1's Wishlist"
"%1: Instance of %2 is expected, got %3 instead","%1: Instance of %2 is expected, got %3 instead"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name wants to share this Wish List from %store_name with you:"
"%customer_name,","%customer_name,"
"%fieldName is a required field.","%fieldName is a required field."
"%name,","%name,"
"'%1' file extension is not supported","'%1' file extension is not supported"
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded."
"'%value%' does not look like a valid local network name.","'%value%' does not look like a valid local network name."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' looks like a DNS hostname but cannot extract TLD part."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' looks like a DNS hostname but contains a dash in an invalid position."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we cannot match the TLD against known list."
