" Copy", " Копіювати"
" Example: ", " Наприклад: "
" Transaction ID: ""%1""", " ID транзакції: ""%1"""
" [deleted]", " [видалено]"
" for more information or ", " для отримання додаткової інформації або "
" is not available. You still can process offline actions.", " недоступно. Ви все ще можете виконувати офлайн-дії."
" is required.", " є обов’язковим."
" item", " товар"
" items", " товари"
" to learn more.", " щоб дізнатися більше."
" unread)", " непрочитаних)"
"""%1"" cannot contain more than %2 lines.", """%1"" не може містити більше %2 рядків."
"""%1"" contains non-alphabetic characters.", """%1"" містить неалфавітні символи."
"""%1"" contains non-alphabetic or non-numeric characters.", """%1"" містить неалфавітні або нечислові символи."
"""%1"" contains non-numeric characters.", """%1"" містить нечислові символи."
"""%1"" coupon code is not valid.", """%1"" код купона недійсний."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","""%1"" код купона не застосовано. Для товару(ів) вибрано «Не застосовувати знижку»"
"""%1"" does not fit the entered date format.", """%1"" не відповідає введеному формату дати."
"""%1"" exceeds the allowed file size.", """%1"" перевищує дозволений розмір файлу."
"""%1"" height exceeds allowed value of %2 px.", """%1"" висота перевищує дозволене значення %2 px."
"""%1"" invalid type entered.", """%1"" введено невірний тип."
"""%1"" is a required value.", """%1"" є обов’язковим значенням."
"""%1"" is an empty string.", """%1"" є порожнім рядком."
"""%1"" is not a valid URL.", """%1"" не є дійсною URL-адресою."
"""%1"" is not a valid date.", """%1"" не є дійсною датою."
"""%1"" is not a valid email address.", """%1"" не є дійсною адресою електронної пошти."
"""%1"" is not a valid file extension.", """%1"" не є дійсним розширенням файлу."
"""%1"" is not a valid file.", """%1"" не є дійсним файлом."
"""%1"" is not a valid hostname.", """%1"" не є дійсним іменем хоста."
"""%1"" is not a valid image format", """%1"" не є дійсним форматом зображення"
"""%1"" is not a valid image format.", """%1"" не є дійсним форматом зображення."
"""%1"" length must be equal or greater than %2 characters.", """%1"" довжина має бути не меншою за %2 символи."
"""%1"" length must be equal or less than %2 characters.", """%1"" довжина має бути не більшою за %2 символи."
"""%1"" must be later than the current date.", """%1"" має бути пізнішою за поточну дату."
"""%1"" section source is not supported", """%1"" джерело розділу не підтримується"
"""%1"" uses too many characters.", """%1"" містить надто багато символів."
"""%1"" width exceeds allowed value of %2 px.", """%1"" ширина перевищує дозволене значення %2 px."
"""%column"" contains incorrect value", """%column"" містить некоректне значення"
"""%field"" can not be empty.", """%field"" не може бути порожнім."
"""%field"" can not be null.", """%field"" не може бути null."
"""%field"" can not contain leading or trailing spaces.", """%field"" не може містити початкові або кінцеві пробіли."
"""%field"" can not contain whitespaces.", """%field"" не може містити пробіли."
"""%field"" is expected to be a number.", """%field"" має бути числом."
"""%field"" is required", """%field"" є обов’язковим"
"""%field"" must be an array", """%field"" має бути масивом"
"""%field"" must be list of SourceCarrierLinkInterface.", """%field"" має бути списком SourceCarrierLinkInterface."
"""%field"" should a known status.", """%field"" має мати відомий статус."
"""%field"" should be greater then 0.", """%field"" має бути більшим за 0."
"""%field"" should be numeric.", """%field"" має бути числовим."
"""Creditmemo Document Validation Error(s):\n"" .", """Помилки перевірки документа кредит-ноти:\n"" ."
"""First Name"" is required. Enter and try again.", """Поле «Ім’я» є обов’язковим. Введіть і спробуйте ще раз."
"""Invoice Document Validation Error(s):\n"" .", """Помилки перевірки документа рахунку-фактури:\n"" ."
"""Last Name"" is required. Enter and try again.", """Поле «Прізвище» є обов’язковим. Введіть і спробуйте ще раз."
"""Remember Me"" Default Value", """Запам’ятати мене» — значення за замовчуванням"
"""Shipment Document Validation Error(s):\n"" .", """Помилки перевірки документа відправлення:\n"" ."
"""User Name"" is required. Enter and try again.", """Поле «Ім’я користувача» є обов’язковим. Введіть і спробуйте ще раз."
"""file"" parameter must be specified", """Параметр «file» має бути вказаний"
"""file"" parameter must be specified and must not be empty", """Параметр «file» має бути вказаний і не може бути порожнім"
"""model"" value should be specified", """Значення параметра «model» має бути вказане"
"# of Items (and above)", "# Товарів (і більше)"
"# of Items vs. Destination", "# Товарів vs. Місце призначення"
"$scopeId is required", "$scopeId є обов’язковим"
"$websiteId parameter is required", "Параметр $websiteId є обов’язковим"
"${ $.visible } out of ${ $.total } visible", "${ $.visible } з ${ $.total } видимих"
"%", "%"
"%1", "%1"
"%1 %2", "%1 %2"
"%1 (Children Only)", "%1 (Тільки дочірні)"
"%1 (Default)", "%1 (За замовчуванням)"
"%1 (Parent Only)", "%1 (Тільки батьківські)"
"%1 - %2", "%1 - %2"
"%1 - Discounts and Coupons", "%1 - Знижки та купони"
"%1 - Special Products", "%1 - Спеціальні товари"
"%1 / %2 rate:", "%1 / %2 ставка:"
"%1 <span>x</span> %2 <span>px.</span>", "%1 <span>x</span> %2 <span>px.</span>"
"%1 An empty value is allowed as well.", "%1 також може бути порожнім."
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.", "%1 правила кошика на основі атрибута ""%2"" були вимкнені."
"%1 Item", "%1 товар"
"%1 Item(s)", "%1 товар(и)"
"%1 Items", "%1 товари"
"%1 Review(s)", "%1 відгук(ів)"
"%1 and above", "%1 і вище"
"%1 and greater", "%1 і більше"
"%1 cache type(s) disabled.", "%1 тип(и) кешу вимкнено."
"%1 cache type(s) enabled.", "%1 тип(и) кешу увімкнено."
"%1 cache type(s) refreshed.", "%1 тип(и) кешу оновлено успішно."
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface", "%1 клас не реалізує \Magento\Payment\Model\MethodInterface"
"%1 coupon(s) have been generated.", "%1 купон(и) згенеровано."
"%1 disabled", "%1 вимкнено"
"%1 does not contain field '%2'", "%1 не містить поля '%2'"
"%1 does not contain field 'file'", "%1 не містить поля 'file'"
"%1 does not implement %2", "%1 не реалізує %2"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface", "%1 не розширює \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface", "%1 не розширює \Magento\Checkout\CustomerData\ItemInterface"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface", "%1 не розширює \Magento\Customer\CustomerData\SectionSourceInterface"
"%1 doesn't extend \Magento\Framework\Filter\Template", "%1 не розширює \Magento\Framework\Filter\Template"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter", "%1 не розширює \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType", "%1 не розширює \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType", "%1 не розширює \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price", "%1 не розширює \Magento\Catalog\Model\Product\Type\Price"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel", "%1 не розширює \Magento\Framework\Model\AbstractModel"
"%1 doesn't implement GetSourceDeductedOrderItemsInterface", "%1 не реалізує GetSourceDeductedOrderItemsInterface"
"%1 doesn't implement SourceSelectionInterface", "%1 не реалізує SourceSelectionInterface"
"%1 for ""%2"".", "%1 для ""%2""."
"%1 for %2", "%1 для %2"
"%1 has been added to your Wish List.", "%1 додано до вашого списку бажань."
"%1 has been moved to your wish list.", "%1 переміщено до вашого списку бажань."
"%1 has been updated in your Wish List.", "%1 оновлено у вашому списку бажань."
"%1 has reached a quantity of %2 in source %3(Source Code: %4).", "%1 досяг кількості %2 у джерелі %3 (код джерела: %4)."
"%1 has reached a quantity of %2.", "%1 досяг кількості %2."
"%1 index is locked by another reindex process. Skipping.", "%1 індекс заблоковано іншим процесом індексації. Пропущено."
"%1 indexer(s) are in ""Update by Schedule"" mode.", "%1 індексатор(и) працюють у режимі ""Оновлення за розкладом""."
"%1 indexer(s) are in ""Update on Save"" mode.", "%1 індексатор(и) працюють у режимі ""Оновлення при збереженні""."
"%1 indexer(s) were invalidated.", "%1 індексатор(и) позначено як недійсні."
"%1 is available to buy in increments of %2", "%1 доступний для купівлі з кроком %2"
"%1 is not a correct comparison method.", "%1 не є коректним методом порівняння."
"%1 is not a valid file", "%1 не є дійсним файлом"
"%1 item(s) are currently being updated.", "%1 товар(и) зараз оновлюються."
"%1 item(s) failed to update", "%1 товар(и) не вдалося оновити."
"%1 item(s) have been scheduled for update.", "%1 товар(и) заплановано для оновлення."
"%1 item(s) have been successfully updated.", "%1 товар(и) успішно оновлено."
"%1 items", "%1 товари"
"%1 items selected for mass update", "%1 товар(и) вибрано для масового оновлення."
"%1 not visible", "%1 невидимий"
"%1 order(s) cannot be canceled.", "%1 замовлень неможливо скасувати."
"%1 order(s) have been released from on hold status.", "%1 замовлення знято зі статусу «Утримано»."
"%1 order(s) were not put on hold.", "%1 замовлення не було переведено у статус «Утримано»."
"%1 order(s) were not released from on hold status.", "%1 замовлення не було знято зі статусу «Утримано»."
"%1 out of stock", "%1 немає в наявності"
"%1 product(s) have been added to shopping cart: %2.", "%1 товар(и) додано до кошика: %2."
"%1 should implement %2", "%1 має реалізувати %2"
"%1 was updated in your shopping cart.", "%1 оновлено у вашому кошику."
"%1 with %2 discount each", "%1 зі знижкою %2 кожен"
"%1 x %2", "%1 x %2"
"%1's Wish List", "Список бажань %1"
"%1's Wishlist", "Список бажань %1"
"%1: Instance of %2 is expected, got %3 instead", "%1: очікувався екземпляр %2, отримано %3"
"%customer_name wants to share this Wish List from %store_name with you:", "%customer_name хоче поділитися цим списком бажань із магазину %store_name з вами:"
"%customer_name,", "%customer_name,"
"%fieldName is a required field.", "%fieldName є обов’язковим полем."
"%name,", "%name,"
"'%1' file extension is not supported", "'%1' розширення файлу не підтримується"
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.", "'%value%' схоже на DNS-ім’я хоста, але вказане значення у форматі punycode не вдалося декодувати."
"'%value%' does not look like a valid local network name.", "'%value%' не схоже на дійсну назву локальної мережі."
